Epoch 1 starting...
  Batch 600, Avg Loss=2.8326
  Batch 650, Avg Loss=2.8739
  Batch 700, Avg Loss=2.8652
  Batch 750, Avg Loss=2.8478
  Batch 800, Avg Loss=2.8453
  Batch 850, Avg Loss=2.8461
  Batch 900, Avg Loss=2.8287
  Batch 950, Avg Loss=2.8579
  Batch 1000, Avg Loss=2.8673
  Batch 1050, Avg Loss=2.8404
  Batch 1100, Avg Loss=2.8680
  Batch 1150, Avg Loss=2.8553
  Batch 1200, Avg Loss=2.8383
  Batch 1250, Avg Loss=2.8615
  Batch 1300, Avg Loss=2.8445
  Batch 1350, Avg Loss=2.8324
  Batch 1400, Avg Loss=2.8330
  Batch 1450, Avg Loss=2.8493
  Batch 1500, Avg Loss=2.8382
  Batch 1550, Avg Loss=2.8618
